% -------------------------------------------------------------------------------------------
% HOYA Glass Catalog
% -------------------------------------------------------------------------------------------
% Date:                   2013-10-01
% Source:                 http://www.hoyaoptics.com/products/document_library.htm
%                         HOYA20131001.xls
% Dispersion Formula:     Schott  [ n^2 = A0 + A1*L^2 + A2*L^-2 + A3*L^-4 + A4*L^-6 + A5*L^-8]
% Valid Wavelength Range: See HOYA Data Sheets  (362nm - 1014nm)
% -------------------------------------------------------------------------------------------
% $HeadURL: file:///C:/svn_Master/svn_macos/trunk/RxGen/HOYA_2013.txt $
% $Revision: 1032 $
% $Id: HOYA_2013.txt 1032 2013-10-22 20:17:20Z Pegasus $
% -------------------------------------------------------------------------------------------
% Name	A0	A1	A2	A3	A4	A5
%/
M-PCD4	2.58233500E+000	-9.95203900E-003	1.32918400E-002	4.55062100E-004	-3.32713200E-005	1.73017200E-006
MP-PCD4-40	2.58314710E+000	-9.75023440E-003	1.36153740E-002	3.63461220E-004	-2.11870820E-005	1.15361320E-006
M-PCD51	2.50202600E+000	-1.10829200E-002	1.12772000E-002	5.71540800E-004	-5.58745500E-005	2.90529200E-006
MP-PCD51-70	2.50254360E+000	-1.03214370E-002	1.24336360E-002	2.18665350E-004	-5.57939770E-006	3.01883830E-007
MC-PCD51-70	2.50254360E+000	-1.03214370E-002	1.24336360E-002	2.18665350E-004	-5.57939770E-006	3.01883830E-007
M-BACD5N	2.48951000E+000	-1.22449600E-002	1.29426200E-002	3.49044900E-004	-1.77722800E-005	9.11371900E-007
MP-BACD5N	2.48951000E+000	-1.22449600E-002	1.29426200E-002	3.49044900E-004	-1.77722800E-005	9.11371900E-007
MC-BACD5N	2.48951000E+000	-1.22449600E-002	1.29426200E-002	3.49044900E-004	-1.77722800E-005	9.11371900E-007
M-BACD12	2.46878100E+000	-1.06263900E-002	1.32518400E-002	4.04861200E-004	-2.97479900E-005	1.82588400E-006
MP-BACD12	2.46878100E+000	-1.06263900E-002	1.32518400E-002	4.04861200E-004	-2.97479900E-005	1.82588400E-006
MC-BACD12	2.46878100E+000	-1.06263900E-002	1.32518400E-002	4.04861200E-004	-2.97479900E-005	1.82588400E-006
M-BACD15	2.59091900E+000	-1.25947600E-002	1.52020500E-002	2.99998000E-004	-1.13154700E-005	9.15464000E-007
